Target,Modelo,Tecnica,fold_1,fold_2,fold_3,fold_4,fold_5
INFECCION,XGBoost,SMOTEENN,0.192758,0.192423,0.317011,0.324505,0.217877
INFECCION,RandomForest,SMOTEENN,0.203634,0.180356,0.300335,0.289868,0.230526
INFECCION,GradientBoosting,SMOTEENN,0.187546,0.169225,0.326758,0.307459,0.216835
INFECCION,LogisticRegression,SMOTEENN,0.1857,0.159546,0.290894,0.230885,0.300535
INFECCION,GaussianNB,SMOTEENN,0.326056,0.290825,0.320401,0.301704,0.400397
INFECCION,ExtraTrees,SMOTEENN,0.220568,0.136032,0.289667,0.321514,0.249563
INFECCION,LightGBM,SMOTEENN,0.236138,0.187946,0.312562,0.318105,0.200735
