modelo,pr_auc,auc_roc,recall,precision,f1,target,n_features,n_train,n_test,prevalencia_test
XGBoost,0.3230151753791478,0.8752739258922484,0.12048192771084337,0.5882352941176471,0.19999999999999996,infeccion_postop,42,10928,2733,0.0304
XGBoost (GridSearch),0.3190740931186482,0.8777040236417367,0.0963855421686747,0.5333333333333333,0.163265306122449,infeccion_postop,42,10928,2733,0.0304
Logistic Regression,0.250982700040949,0.8727483518981587,0.7349397590361446,0.14055299539170507,0.23597678916827852,infeccion_postop,42,10928,2733,0.0304
Random Forest,0.2376174567758214,0.851095703568993,0.03614457831325301,0.5,0.06741573033707865,infeccion_postop,42,10928,2733,0.0304
