Target,Fase,Modelo,Accuracy,Precision,Recall,F1,AUC-ROC,PR-AUC,Sensitivity,Specificity,Info,Tiempo_seg,Tecnica
MORTALIDAD,Baseline,GaussianNB,0.8424,0.0645,0.6486,0.1173,0.8433,0.1895,0.6486,0.8456,Params fijos,,BorderlineSMOTE
MORTALIDAD,Baseline,ExtraTrees,0.9567,0.1245,0.2793,0.1722,0.8833,0.1119,0.2793,0.9678,Params fijos,,BorderlineSMOTE
MORTALIDAD,Baseline,LightGBM,0.9582,0.1193,0.2492,0.1613,0.8653,0.0922,0.2492,0.9698,Params fijos,,BorderlineSMOTE
UCI,Baseline,XGBoost,0.9437,0.1324,0.3176,0.1869,0.8534,0.1291,0.3176,0.9567,Params fijos,,BorderlineSMOTE
UCI,Baseline,RandomForest,0.9528,0.153,0.2905,0.2005,0.8796,0.1261,0.2905,0.9666,Params fijos,,BorderlineSMOTE
UCI,Baseline,GradientBoosting,0.9565,0.1585,0.2635,0.198,0.867,0.1435,0.2635,0.9709,Params fijos,,BorderlineSMOTE
UCI,Baseline,LogisticRegression,0.9232,0.1232,0.4527,0.1936,0.8668,0.1211,0.4527,0.933,Params fijos,,BorderlineSMOTE
UCI,Baseline,GaussianNB,0.8733,0.0776,0.4797,0.1336,0.8322,0.1792,0.4797,0.8814,Params fijos,,BorderlineSMOTE
UCI,Baseline,ExtraTrees,0.9502,0.1677,0.3649,0.2298,0.8791,0.1229,0.3649,0.9624,Params fijos,,BorderlineSMOTE
UCI,Baseline,LightGBM,0.9466,0.1407,0.3176,0.195,0.8608,0.1315,0.3176,0.9597,Params fijos,,BorderlineSMOTE
MORTALIDAD,K-Fold (5),XGBoost,0.9596,0.1128,0.2193,0.1488,0.8521,0.088,0.2193,0.9718,±0.0063 (PR-AUC std),5.6,BorderlineSMOTE
MORTALIDAD,K-Fold (5),RandomForest,0.958,0.1254,0.2688,0.1708,0.8803,0.1074,0.2688,0.9693,±0.0061 (PR-AUC std),5.5,BorderlineSMOTE
MORTALIDAD,K-Fold (5),GradientBoosting,0.9639,0.1186,0.193,0.1467,0.8568,0.0872,0.193,0.9765,±0.0059 (PR-AUC std),30.5,BorderlineSMOTE
MORTALIDAD,K-Fold (5),LogisticRegression,0.9276,0.1126,0.506,0.1841,0.8718,0.1166,0.506,0.9345,±0.0089 (PR-AUC std),4.5,BorderlineSMOTE
MORTALIDAD,K-Fold (5),GaussianNB,0.8284,0.0608,0.6532,0.1111,0.8383,0.1814,0.6532,0.8313,±0.0119 (PR-AUC std),4.3,BorderlineSMOTE
MORTALIDAD,K-Fold (5),ExtraTrees,0.9629,0.1364,0.2433,0.1744,0.8794,0.1098,0.2433,0.9747,±0.0026 (PR-AUC std),5.3,BorderlineSMOTE
MORTALIDAD,K-Fold (5),LightGBM,0.9625,0.1172,0.2027,0.1483,0.8522,0.0874,0.2027,0.9749,±0.0061 (PR-AUC std),6.3,BorderlineSMOTE
UCI,K-Fold (5),XGBoost,0.9436,0.1297,0.308,0.1824,0.844,0.1055,0.308,0.9568,±0.0130 (PR-AUC std),2.3,BorderlineSMOTE
UCI,K-Fold (5),RandomForest,0.949,0.1446,0.303,0.1957,0.871,0.1241,0.303,0.9624,±0.0222 (PR-AUC std),2.0,BorderlineSMOTE
UCI,K-Fold (5),GradientBoosting,0.9507,0.1313,0.2508,0.1724,0.8438,0.1034,0.2508,0.9653,±0.0125 (PR-AUC std),8.2,BorderlineSMOTE
UCI,K-Fold (5),LogisticRegression,0.9259,0.1365,0.4932,0.2138,0.8645,0.1294,0.4932,0.9349,±0.0147 (PR-AUC std),1.4,BorderlineSMOTE
UCI,K-Fold (5),GaussianNB,0.8639,0.0858,0.5874,0.1497,0.8339,0.2147,0.5874,0.8696,±0.0150 (PR-AUC std),1.3,BorderlineSMOTE
UCI,K-Fold (5),ExtraTrees,0.9518,0.1537,0.3029,0.2038,0.873,0.1291,0.3029,0.9654,±0.0276 (PR-AUC std),1.8,BorderlineSMOTE
UCI,K-Fold (5),LightGBM,0.9482,0.1381,0.2929,0.1877,0.8434,0.1044,0.2929,0.9618,±0.0114 (PR-AUC std),3.1,BorderlineSMOTE
MORTALIDAD,GridSearch,XGBoost,0.9362,0.1227,0.4805,0.1955,0.8916,0.1375,0.4805,0.9437,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",39.9,BorderlineSMOTE
MORTALIDAD,GridSearch,RandomForest,0.9607,0.1496,0.3063,0.201,0.8932,0.1303,0.3063,0.9714,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",104.8,BorderlineSMOTE
MORTALIDAD,GridSearch,GradientBoosting,0.9368,0.1239,0.4805,0.197,0.8913,0.1309,0.4805,0.9443,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",249.4,BorderlineSMOTE
MORTALIDAD,GridSearch,LogisticRegression,0.9245,0.1081,0.5075,0.1782,0.8796,0.1161,0.5075,0.9313,"{'C': 1.0, 'penalty': 'l1'}",6.3,BorderlineSMOTE
MORTALIDAD,GridSearch,GaussianNB,0.8424,0.0645,0.6486,0.1173,0.8433,0.1895,0.6486,0.8456,{'var_smoothing': 1e-06},4.9,BorderlineSMOTE
MORTALIDAD,GridSearch,ExtraTrees,0.9674,0.152,0.2222,0.1805,0.8807,0.1257,0.2222,0.9797,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",134.4,BorderlineSMOTE
MORTALIDAD,GridSearch,LightGBM,0.9365,0.1256,0.4925,0.2001,0.8912,0.1314,0.4925,0.9438,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}",39.5,BorderlineSMOTE
UCI,GridSearch,XGBoost,0.9395,0.1422,0.3919,0.2086,0.8738,0.1357,0.3919,0.9508,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",10.1,BorderlineSMOTE
UCI,GridSearch,RandomForest,0.9573,0.1538,0.2432,0.1885,0.8896,0.1237,0.2432,0.9722,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",26.5,BorderlineSMOTE
UCI,GridSearch,GradientBoosting,0.9408,0.1439,0.3851,0.2096,0.8721,0.131,0.3851,0.9524,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",48.5,BorderlineSMOTE
UCI,GridSearch,LogisticRegression,0.9254,0.1212,0.4257,0.1886,0.8708,0.1216,0.4257,0.9358,"{'C': 0.01, 'penalty': 'l1'}",1.8,BorderlineSMOTE
UCI,GridSearch,GaussianNB,0.8733,0.0776,0.4797,0.1336,0.8322,0.1792,0.4797,0.8814,{'var_smoothing': 1e-06},1.6,BorderlineSMOTE
UCI,GridSearch,ExtraTrees,0.9539,0.1649,0.3108,0.2155,0.883,0.1197,0.3108,0.9673,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 200}",31.8,BorderlineSMOTE
UCI,GridSearch,LightGBM,0.9397,0.1429,0.3919,0.2094,0.8761,0.1345,0.3919,0.9511,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}",12.3,BorderlineSMOTE
MORTALIDAD,Baseline,XGBoost,0.968,0.1391,0.1892,0.1603,0.8748,0.0955,0.1892,0.9808,Params fijos,,SVMSMOTE
MORTALIDAD,Baseline,RandomForest,0.9769,0.1983,0.1411,0.1649,0.892,0.1318,0.1411,0.9906,Params fijos,,SVMSMOTE
MORTALIDAD,Baseline,GradientBoosting,0.9712,0.1236,0.1291,0.1263,0.8779,0.0955,0.1291,0.985,Params fijos,,SVMSMOTE
MORTALIDAD,Baseline,LogisticRegression,0.9418,0.1158,0.3934,0.179,0.8791,0.1185,0.3934,0.9507,Params fijos,,SVMSMOTE
MORTALIDAD,Baseline,GaussianNB,0.863,0.0679,0.5886,0.1217,0.7898,0.1462,0.5886,0.8675,Params fijos,,SVMSMOTE
MORTALIDAD,Baseline,ExtraTrees,0.979,0.1656,0.0751,0.1033,0.885,0.1184,0.0751,0.9938,Params fijos,,SVMSMOTE
MORTALIDAD,Baseline,LightGBM,0.9698,0.1375,0.1652,0.1501,0.8778,0.0999,0.1652,0.983,Params fijos,,SVMSMOTE
UCI,Baseline,XGBoost,0.9623,0.1684,0.2162,0.1893,0.8635,0.1227,0.2162,0.9778,Params fijos,,SVMSMOTE
UCI,Baseline,RandomForest,0.9623,0.1461,0.1757,0.1595,0.8767,0.1224,0.1757,0.9786,Params fijos,,SVMSMOTE
UCI,Baseline,GradientBoosting,0.9633,0.1394,0.1554,0.147,0.8719,0.1137,0.1554,0.9801,Params fijos,,SVMSMOTE
UCI,Baseline,LogisticRegression,0.9434,0.1275,0.3041,0.1796,0.8667,0.1178,0.3041,0.9567,Params fijos,,SVMSMOTE
UCI,Baseline,GaussianNB,0.8971,0.0979,0.4932,0.1633,0.8428,0.1783,0.4932,0.9055,Params fijos,,SVMSMOTE
UCI,Baseline,ExtraTrees,0.962,0.1484,0.1824,0.1636,0.8783,0.1226,0.1824,0.9782,Params fijos,,SVMSMOTE
UCI,Baseline,LightGBM,0.9609,0.1531,0.2027,0.1744,0.8646,0.1199,0.2027,0.9767,Params fijos,,SVMSMOTE
MORTALIDAD,K-Fold (5),XGBoost,0.973,0.1409,0.1322,0.1358,0.8597,0.0933,0.1322,0.9868,±0.0068 (PR-AUC std),139.6,SVMSMOTE
MORTALIDAD,K-Fold (5),RandomForest,0.9758,0.1607,0.1194,0.1366,0.8838,0.1129,0.1194,0.9898,±0.0110 (PR-AUC std),139.9,SVMSMOTE
MORTALIDAD,K-Fold (5),GradientBoosting,0.9757,0.1523,0.1089,0.1261,0.8672,0.0944,0.1089,0.99,±0.0041 (PR-AUC std),163.0,SVMSMOTE
MORTALIDAD,K-Fold (5),LogisticRegression,0.9501,0.1326,0.3777,0.1959,0.8715,0.118,0.3777,0.9595,±0.0082 (PR-AUC std),140.8,SVMSMOTE
MORTALIDAD,K-Fold (5),GaussianNB,0.8471,0.0635,0.6088,0.1149,0.828,0.1683,0.6088,0.8511,±0.0199 (PR-AUC std),139.5,SVMSMOTE
MORTALIDAD,K-Fold (5),ExtraTrees,0.9796,0.1868,0.0781,0.1101,0.8838,0.114,0.0781,0.9944,±0.0045 (PR-AUC std),140.6,SVMSMOTE
MORTALIDAD,K-Fold (5),LightGBM,0.9746,0.1461,0.1187,0.1303,0.8623,0.0955,0.1187,0.9887,±0.0063 (PR-AUC std),141.2,SVMSMOTE
UCI,K-Fold (5),XGBoost,0.9608,0.1557,0.207,0.1775,0.8513,0.1105,0.207,0.9765,±0.0146 (PR-AUC std),6.0,SVMSMOTE
UCI,K-Fold (5),RandomForest,0.9641,0.1627,0.1818,0.1714,0.8775,0.1265,0.1818,0.9804,±0.0185 (PR-AUC std),5.7,SVMSMOTE
UCI,K-Fold (5),GradientBoosting,0.9651,0.1553,0.1582,0.1564,0.8564,0.1092,0.1582,0.982,±0.0096 (PR-AUC std),11.2,SVMSMOTE
UCI,K-Fold (5),LogisticRegression,0.9476,0.1597,0.3653,0.2222,0.8644,0.1282,0.3653,0.9598,±0.0145 (PR-AUC std),5.1,SVMSMOTE
UCI,K-Fold (5),GaussianNB,0.8763,0.0878,0.5369,0.1507,0.8295,0.1923,0.5369,0.8834,±0.0130 (PR-AUC std),5.3,SVMSMOTE
UCI,K-Fold (5),ExtraTrees,0.9604,0.1581,0.2137,0.1814,0.8762,0.131,0.2137,0.976,±0.0265 (PR-AUC std),5.5,SVMSMOTE
UCI,K-Fold (5),LightGBM,0.9645,0.1617,0.1767,0.1688,0.8531,0.1106,0.1767,0.9809,±0.0099 (PR-AUC std),6.6,SVMSMOTE
MORTALIDAD,GridSearch,XGBoost,0.9536,0.1422,0.3724,0.2058,0.8913,0.1278,0.3724,0.9632,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",2866.9,SVMSMOTE
MORTALIDAD,GridSearch,RandomForest,0.9755,0.1861,0.1532,0.168,0.8874,0.134,0.1532,0.989,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",2217.1,SVMSMOTE
MORTALIDAD,GridSearch,GradientBoosting,0.9596,0.128,0.2583,0.1711,0.8877,0.1212,0.2583,0.9711,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",1642.4,SVMSMOTE
MORTALIDAD,GridSearch,LogisticRegression,0.9441,0.123,0.4024,0.1885,0.8785,0.1166,0.4024,0.953,"{'C': 0.01, 'penalty': 'l1'}",538.9,SVMSMOTE
MORTALIDAD,GridSearch,GaussianNB,0.8631,0.0679,0.5886,0.1218,0.7899,0.1462,0.5886,0.8676,{'var_smoothing': 1e-05},369.2,SVMSMOTE
MORTALIDAD,GridSearch,ExtraTrees,0.9819,0.2588,0.0661,0.1053,0.8792,0.1225,0.0661,0.9969,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",2232.1,SVMSMOTE
MORTALIDAD,GridSearch,LightGBM,0.9539,0.1415,0.3664,0.2042,0.8933,0.1275,0.3664,0.9636,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}",3097.8,SVMSMOTE
UCI,GridSearch,XGBoost,0.9517,0.1512,0.2973,0.2005,0.8782,0.1285,0.2973,0.9653,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",47.3,SVMSMOTE
UCI,GridSearch,RandomForest,0.9701,0.1584,0.1081,0.1285,0.8837,0.1186,0.1081,0.9881,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",56.0,SVMSMOTE
UCI,GridSearch,GradientBoosting,0.9528,0.153,0.2905,0.2005,0.8743,0.1263,0.2905,0.9666,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",64.1,SVMSMOTE
UCI,GridSearch,LogisticRegression,0.9448,0.129,0.2973,0.18,0.8698,0.1188,0.2973,0.9583,"{'C': 0.1, 'penalty': 'l1'}",9.0,SVMSMOTE
UCI,GridSearch,GaussianNB,0.8971,0.0979,0.4932,0.1633,0.8428,0.1783,0.4932,0.9055,{'var_smoothing': 1e-06},6.7,SVMSMOTE
UCI,GridSearch,ExtraTrees,0.9587,0.1607,0.2432,0.1935,0.8801,0.124,0.2432,0.9736,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",57.1,SVMSMOTE
UCI,GridSearch,LightGBM,0.9505,0.1419,0.2838,0.1892,0.8754,0.1262,0.2838,0.9643,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}",52.1,SVMSMOTE
MORTALIDAD,Baseline,XGBoost,0.9696,0.1322,0.1592,0.1444,0.869,0.0928,0.1592,0.9829,Params fijos,,ADASYN
MORTALIDAD,Baseline,RandomForest,0.9592,0.14,0.2973,0.1904,0.8899,0.1266,0.2973,0.9701,Params fijos,,ADASYN
MORTALIDAD,Baseline,GradientBoosting,0.9714,0.138,0.1471,0.1424,0.8705,0.0947,0.1471,0.9849,Params fijos,,ADASYN
MORTALIDAD,Baseline,LogisticRegression,0.9245,0.113,0.5375,0.1868,0.8887,0.1258,0.5375,0.9308,Params fijos,,ADASYN
MORTALIDAD,Baseline,GaussianNB,0.8325,0.0622,0.6667,0.1138,0.8425,0.1992,0.6667,0.8352,Params fijos,,ADASYN
MORTALIDAD,Baseline,ExtraTrees,0.9633,0.1265,0.2162,0.1596,0.8877,0.1106,0.2162,0.9755,Params fijos,,ADASYN
MORTALIDAD,Baseline,LightGBM,0.9689,0.1432,0.1862,0.1619,0.8677,0.0985,0.1862,0.9817,Params fijos,,ADASYN
UCI,Baseline,XGBoost,0.9494,0.1333,0.2703,0.1786,0.8487,0.1131,0.2703,0.9635,Params fijos,,ADASYN
UCI,Baseline,RandomForest,0.9528,0.153,0.2905,0.2005,0.878,0.124,0.2905,0.9666,Params fijos,,ADASYN
UCI,Baseline,GradientBoosting,0.9583,0.1362,0.1959,0.1607,0.8528,0.1063,0.1959,0.9742,Params fijos,,ADASYN
UCI,Baseline,LogisticRegression,0.9221,0.1115,0.4054,0.1749,0.8668,0.1226,0.4054,0.9329,Params fijos,,ADASYN
UCI,Baseline,GaussianNB,0.8645,0.0777,0.5203,0.1352,0.8309,0.1789,0.5203,0.8716,Params fijos,,ADASYN
UCI,Baseline,ExtraTrees,0.9495,0.1589,0.3446,0.2175,0.8767,0.1241,0.3446,0.9621,Params fijos,,ADASYN
UCI,Baseline,LightGBM,0.9545,0.144,0.25,0.1827,0.8464,0.1231,0.25,0.9691,Params fijos,,ADASYN
MORTALIDAD,K-Fold (5),XGBoost,0.9698,0.1176,0.1352,0.1254,0.8465,0.087,0.1352,0.9835,±0.0040 (PR-AUC std),5.6,ADASYN
MORTALIDAD,K-Fold (5),RandomForest,0.9646,0.1361,0.223,0.1687,0.8782,0.1055,0.223,0.9768,±0.0019 (PR-AUC std),5.6,ADASYN
MORTALIDAD,K-Fold (5),GradientBoosting,0.9729,0.12,0.1051,0.1113,0.8487,0.0846,0.1051,0.9871,±0.0045 (PR-AUC std),30.2,ADASYN
MORTALIDAD,K-Fold (5),LogisticRegression,0.9252,0.1122,0.5255,0.1849,0.8775,0.1211,0.5255,0.9317,±0.0119 (PR-AUC std),4.5,ADASYN
MORTALIDAD,K-Fold (5),GaussianNB,0.8126,0.0572,0.6712,0.1053,0.8374,0.1813,0.6712,0.8149,±0.0101 (PR-AUC std),4.3,ADASYN
MORTALIDAD,K-Fold (5),ExtraTrees,0.9664,0.1394,0.2087,0.1669,0.883,0.109,0.2087,0.9788,±0.0021 (PR-AUC std),5.3,ADASYN
MORTALIDAD,K-Fold (5),LightGBM,0.9703,0.1138,0.1216,0.1169,0.8463,0.0868,0.1216,0.9842,±0.0074 (PR-AUC std),6.4,ADASYN
UCI,K-Fold (5),XGBoost,0.9507,0.1373,0.2676,0.1812,0.8278,0.1005,0.2676,0.9649,±0.0186 (PR-AUC std),2.2,ADASYN
UCI,K-Fold (5),RandomForest,0.9559,0.1655,0.2861,0.2096,0.8658,0.1234,0.2861,0.9698,±0.0263 (PR-AUC std),1.9,ADASYN
UCI,K-Fold (5),GradientBoosting,0.9584,0.1406,0.2037,0.1661,0.8339,0.0991,0.2037,0.9742,±0.0178 (PR-AUC std),8.0,ADASYN
UCI,K-Fold (5),LogisticRegression,0.9251,0.1392,0.5134,0.2189,0.8702,0.1344,0.5134,0.9337,±0.0165 (PR-AUC std),1.4,ADASYN
UCI,K-Fold (5),GaussianNB,0.8594,0.0843,0.5958,0.1477,0.841,0.2169,0.5958,0.8649,±0.0158 (PR-AUC std),1.3,ADASYN
UCI,K-Fold (5),ExtraTrees,0.9521,0.1543,0.3012,0.2039,0.8734,0.1294,0.3012,0.9657,±0.0274 (PR-AUC std),1.8,ADASYN
UCI,K-Fold (5),LightGBM,0.9559,0.1516,0.2525,0.1893,0.8293,0.1044,0.2525,0.9706,±0.0190 (PR-AUC std),3.1,ADASYN
